iter	Logloss
0	0.6691235587
1	0.6496974515
2	0.626566836
3	0.6057975816
4	0.5879126788
5	0.5735093965
6	0.5608448419
7	0.5487195647
8	0.5359812125
9	0.5256087069
10	0.5170513964
11	0.5091672348
12	0.5006146235
13	0.4933276773
14	0.4878331249
15	0.4817240557
16	0.4759914502
17	0.4703102145
18	0.4645059474
19	0.4599451314
20	0.4549906573
21	0.4506377773
22	0.445333913
23	0.4410994989
24	0.4374549312
25	0.4340574143
26	0.4301697472
27	0.4269605955
28	0.4239024565
29	0.4206970161
30	0.4186702538
31	0.4150057148
32	0.4126956436
33	0.4105040917
34	0.4079192822
35	0.4058973524
36	0.4035038452
37	0.4011372777
38	0.3992219326
39	0.3968341924
40	0.3945629157
41	0.3923757692
42	0.3896755642
43	0.3878571117
44	0.3857558043
45	0.3844101206
46	0.3829803867
47	0.3814039389
48	0.3789932371
49	0.3776399975
50	0.3754839826
51	0.3735869267
52	0.3721297457
53	0.3705556207
54	0.3693262669
55	0.3679881926
56	0.3668051091
57	0.365604404
58	0.364486681
59	0.3634984775
60	0.3624198693
61	0.3615342989
62	0.3605054854
63	0.3593876022
64	0.3585713971
65	0.3576392627
66	0.3563627041
67	0.3551138063
68	0.3548842169
69	0.3536988907
70	0.3527161072
71	0.351130448
72	0.3501062001
73	0.3489553964
74	0.3480141307
75	0.3472214479
76	0.3464256413
77	0.3451952196
78	0.3440420129
79	0.3431525176
80	0.341868857
81	0.3410645866
82	0.3402331895
83	0.3396196874
84	0.3388634496
85	0.338018676
86	0.337119916
87	0.3364844935
88	0.3357983954
89	0.3350830078
90	0.3342849318
91	0.3338114955
92	0.3332077921
93	0.3325346165
94	0.3323647006
95	0.3317226033
96	0.3312255913
97	0.3306954985
98	0.3298215958
99	0.3291283154
100	0.3283246058
101	0.3276401897
102	0.3271119125
103	0.3267458351
104	0.3265344548
105	0.3258999935
106	0.3250249694
107	0.3245662446
108	0.3241517608
109	0.3236526129
110	0.3232676589
111	0.322709051
112	0.3221859269
113	0.3219350313
114	0.3215519195
115	0.3212493336
116	0.3207523483
117	0.3204603354
118	0.3200503372
119	0.3196700556
120	0.3190682212
121	0.3181874032
122	0.3178099518
123	0.3173789144
124	0.3167901093
125	0.3164699017
126	0.3159057938
127	0.3154631687
128	0.3152252758
129	0.3150657994
130	0.3149510181
131	0.3146896296
132	0.3141874111
133	0.3137090087
134	0.3132312471
135	0.3127294559
136	0.3123720558
137	0.3120823123
138	0.3115627392
139	0.3110887155
140	0.3104447759
141	0.3102212741
142	0.3098702018
143	0.3093196038
144	0.3090963422
145	0.308853857
146	0.3084271448
147	0.3080617349
148	0.3075714245
149	0.3072252916
150	0.3068695469
151	0.3065533976
152	0.3063225266
153	0.3061536253
154	0.3057472049
155	0.3055853789
156	0.3053161141
157	0.3050345407
158	0.304486666
159	0.3038360249
160	0.3034908799
161	0.3030026787
162	0.3025696922
163	0.3023313187
164	0.3020193879
165	0.3016254896
166	0.3013840189
167	0.3009386705
168	0.300628849
169	0.3003439916
170	0.3002052074
171	0.2997841556
172	0.299412311
173	0.2992571867
174	0.2987263997
175	0.2980238814
176	0.2978501741
177	0.2974567831
178	0.2968573783
179	0.2964360061
180	0.2959437199
181	0.2955467511
182	0.2955140442
183	0.2954873713
184	0.2949821626
185	0.294751345
186	0.2943607307
187	0.2940462902
188	0.2935844415
189	0.2935730141
190	0.2929657597
191	0.2927081091
192	0.2925077023
193	0.2921833829
194	0.2917591539
195	0.2915075374
196	0.2911717906
197	0.2904717019
198	0.2902382945
199	0.2897547124
200	0.289719736
201	0.2893318984
202	0.2890380432
203	0.2885091253
204	0.2880813986
205	0.2878213717
206	0.2873658775
207	0.2869871979
208	0.2867669267
209	0.2866122295
210	0.2863199229
211	0.2859250901
212	0.2856503785
213	0.2854485833
214	0.2850794888
215	0.2848026412
216	0.2845461654
217	0.2842916654
218	0.2840405829
219	0.2838809196
220	0.283614565
221	0.2832256327
222	0.2829744167
223	0.2827508881
224	0.2824234983
225	0.2821983945
226	0.2817092321
227	0.2815980819
228	0.2813866483
229	0.2810348017
230	0.2808097779
231	0.2806012545
232	0.2802958117
233	0.2798811144
234	0.2795408287
235	0.2792212352
236	0.2787382672
237	0.2783328079
238	0.2779877697
239	0.277586609
240	0.2772775885
241	0.2770568634
242	0.2767950744
243	0.2765807571
244	0.2762617777
245	0.2759519028
246	0.2755358438
247	0.2751604749
248	0.2748153032
249	0.2745735656
250	0.2741623926
251	0.2737653704
252	0.2734711948
253	0.273262084
254	0.2729382719
255	0.2727131414
256	0.2721554947
257	0.2718531491
258	0.2714981787
259	0.2712089158
260	0.2709405587
261	0.2708299692
262	0.2705987244
263	0.2702495478
264	0.2700285557
265	0.269579416
266	0.2692621453
267	0.2690248131
268	0.2686450655
269	0.2684653775
270	0.2680566609
271	0.267704841
272	0.2673136126
273	0.2670120413
274	0.2668121952
275	0.2665353476
276	0.2661704183
277	0.2658280767
278	0.2657244825
279	0.2653999228
280	0.2653945028
281	0.265168064
282	0.2648247613
283	0.2646019803
284	0.2643334363
285	0.2642485851
286	0.2638589854
287	0.2636861326
288	0.2634127826
289	0.2630733246
290	0.2628915541
291	0.2625874997
292	0.2623388736
293	0.2620318822
294	0.262017064
295	0.2617448622
296	0.2613834838
297	0.2608843092
298	0.2606358699
299	0.260396909
300	0.2601538364
301	0.260045543
302	0.2598526121
303	0.2597308088
304	0.2594723572
305	0.2590101881
306	0.2587926936
307	0.2585150718
308	0.2582419622
309	0.2580345067
310	0.2580312761
311	0.2576015202
312	0.2572523436
313	0.2570410434
314	0.2568596467
315	0.2567436105
316	0.2566254917
317	0.2562851259
318	0.25606376
319	0.2558115828
320	0.2555807386
321	0.2554485758
322	0.2552013915
323	0.2549576513
324	0.2547795921
325	0.2544610932
326	0.2539664842
327	0.25374114
328	0.2535149949
329	0.253237373
330	0.2529455737
331	0.2526308128
332	0.2523604799
333	0.2519858586
334	0.2516997463
335	0.2514717055
336	0.2513558028
337	0.250921508
338	0.2507771703
339	0.2505126846
340	0.2501856152
341	0.250000801
342	0.2497565536
343	0.2495058449
344	0.2491190753
345	0.2487670685
346	0.2485222604
347	0.2482492041
348	0.2480102432
349	0.2477909866
350	0.247546312
351	0.247291625
352	0.2469040277
353	0.2467357138
354	0.2465441179
355	0.2461587634
356	0.2459865246
357	0.2458501434
358	0.2457129344
359	0.245629792
360	0.2453063805
361	0.2451600937
362	0.2447034514
363	0.2443822826
364	0.244306002
365	0.2441202799
366	0.2438787826
367	0.2436058598
368	0.2434409368
369	0.2431181393
370	0.2429469151
371	0.2426530332
372	0.2425230599
373	0.2424628257
374	0.242131164
375	0.241896742
376	0.2415938624
377	0.241300114
378	0.2410814981
379	0.2408586637
380	0.2405570657
381	0.2402265787
382	0.2399130994
383	0.2398119081
384	0.2395683015
385	0.2394062086
386	0.2391486915
387	0.2389360563
388	0.2387385865
389	0.2384317553
390	0.2381504222
391	0.2380730737
392	0.2378777932
393	0.2375390828
394	0.2371914013
395	0.2370502142
396	0.2368595794
397	0.2366129023
398	0.2364060076
399	0.2362155063
400	0.2360088519
401	0.2356289174
402	0.2355441997
403	0.235337385
404	0.235224446
405	0.2350052694
406	0.2347571773
407	0.2347524247
408	0.23459156
409	0.2344136075
410	0.2342590706
411	0.2340697708
412	0.2338904033
413	0.2336451947
414	0.2335035536
415	0.2332716147
416	0.2330827154
417	0.2328081907
418	0.232641719
419	0.2325570815
420	0.232226728
421	0.2318954935
422	0.2316251339
423	0.2314647498
424	0.2313205455
425	0.2312734208
426	0.2310911965
427	0.2308524758
428	0.2306006991
429	0.2303959937
430	0.2303345047
431	0.2302969918
432	0.230185361
433	0.2298029702
434	0.2296556955
435	0.2294174822
436	0.2293103903
437	0.2291895215
438	0.2290530067
439	0.2288462721
440	0.2287146434
441	0.228496962
442	0.2282981839
443	0.2280238995
444	0.2278026938
445	0.2275511307
446	0.2273133446
447	0.2271105081
448	0.2269820032
449	0.2267589018
450	0.2266109864
451	0.2264136767
452	0.2261405938
453	0.225903048
454	0.2256445697
455	0.2255008194
456	0.2253760791
457	0.2251937479
458	0.2250138731
459	0.2247872207
460	0.2246473151
461	0.2244721927
462	0.2242645771
463	0.2240020939
464	0.2237041937
465	0.2233966016
466	0.2231183657
467	0.2228894705
468	0.2227003309
469	0.2224908463
470	0.222334694
471	0.2220913277
472	0.2219268185
473	0.2217793302
474	0.2216217495
475	0.2214595631
476	0.2211904985
477	0.220995792
478	0.2207969338
479	0.2205856871
480	0.2204204569
481	0.2203512918
482	0.2202090099
483	0.2199986442
484	0.219739405
485	0.2195333913
486	0.2193359348
487	0.2191593307
488	0.2189671741
489	0.2188590943
490	0.2187024481
491	0.2185263112
492	0.2183820803
493	0.2182255409
494	0.2180462
495	0.2178413344
496	0.2175959656
497	0.2173839579
498	0.2171802003
499	0.2169935972
