iter	Passed	Remaining
0	153	76579
1	157	39332
2	162	26947
3	167	20718
4	171	16982
5	177	14622
6	182	12864
7	187	11547
8	193	10534
9	198	9706
10	203	9034
11	208	8486
12	214	8021
13	219	7618
14	224	7267
15	230	6960
16	235	6690
17	242	6493
18	247	6277
19	253	6077
20	259	5908
21	264	5749
22	270	5604
23	275	5472
24	281	5350
25	287	5239
26	293	5138
27	298	5037
28	304	4944
29	310	4860
30	315	4774
31	321	4699
32	326	4626
33	332	4561
34	338	4500
35	344	4446
36	350	4386
37	356	4331
38	361	4277
39	367	4228
40	374	4191
41	380	4144
42	386	4102
43	391	4060
44	397	4018
45	403	3979
46	408	3940
47	414	3902
48	420	3869
49	425	3832
50	431	3796
51	437	3769
52	443	3737
53	448	3705
54	454	3675
55	459	3646
56	466	3622
57	471	3594
58	477	3566
59	483	3544
60	488	3517
61	494	3491
62	501	3477
63	507	3455
64	513	3435
65	519	3414
66	524	3392
67	530	3372
68	534	3339
69	540	3319
70	545	3297
71	551	3279
72	557	3259
73	562	3239
74	568	3220
75	574	3203
76	580	3189
77	585	3169
78	591	3152
79	597	3137
80	603	3122
81	609	3107
82	615	3090
83	620	3072
84	625	3055
85	631	3040
86	637	3025
87	643	3014
88	649	3001
89	655	2987
90	661	2975
91	667	2960
92	672	2944
93	679	2933
94	684	2917
95	690	2904
96	696	2893
97	701	2879
98	707	2867
99	713	2854
100	719	2841
101	725	2831
102	730	2817
103	736	2804
104	744	2801
105	751	2793
106	757	2782
107	763	2770
108	768	2756
109	774	2747
110	780	2735
111	786	2724
112	792	2714
113	798	2702
114	803	2691
115	809	2679
116	814	2666
117	820	2655
118	826	2644
119	831	2633
120	837	2622
121	842	2611
122	848	2601
123	854	2590
124	859	2579
125	865	2568
126	871	2559
127	876	2548
128	883	2539
129	888	2528
130	893	2517
131	899	2506
132	905	2497
133	910	2487
134	916	2477
135	922	2467
136	927	2458
137	933	2447
138	938	2437
139	944	2427
140	950	2419
141	955	2410
142	961	2400
143	969	2395
144	974	2386
145	980	2376
146	986	2369
147	992	2359
148	997	2350
149	1003	2342
150	1009	2333
151	1015	2325
152	1021	2315
153	1026	2306
154	1032	2298
155	1038	2289
156	1043	2280
157	1049	2271
158	1055	2262
159	1060	2254
160	1067	2247
161	1072	2238
162	1078	2230
163	1084	2221
164	1090	2213
165	1095	2205
166	1101	2196
167	1107	2188
168	1113	2180
169	1118	2171
170	1124	2163
171	1131	2157
172	1136	2149
173	1142	2140
174	1148	2132
175	1153	2124
176	1160	2117
177	1166	2109
178	1172	2101
179	1178	2094
180	1183	2086
181	1189	2078
182	1195	2071
183	1201	2063
184	1206	2054
185	1213	2047
186	1218	2039
187	1224	2031
188	1230	2024
189	1235	2015
190	1241	2008
191	1247	2000
192	1252	1992
193	1258	1985
194	1264	1977
195	1270	1969
196	1276	1963
197	1282	1955
198	1287	1947
199	1293	1940
200	1299	1932
201	1305	1925
202	1311	1918
203	1317	1911
204	1323	1904
205	1329	1896
206	1334	1889
207	1341	1882
208	1346	1874
209	1351	1867
210	1358	1860
211	1364	1853
212	1369	1845
213	1376	1839
214	1381	1831
215	1387	1824
216	1392	1816
217	1398	1808
218	1404	1802
219	1409	1794
220	1415	1786
221	1421	1780
222	1427	1772
223	1432	1765
224	1438	1758
225	1444	1750
226	1450	1743
227	1456	1736
228	1461	1729
229	1467	1722
230	1473	1715
231	1478	1707
232	1485	1702
233	1491	1694
234	1497	1688
235	1503	1682
236	1509	1675
237	1515	1668
238	1521	1662
239	1527	1655
240	1534	1648
241	1539	1641
242	1545	1634
243	1551	1628
244	1557	1620
245	1563	1613
246	1568	1606
247	1574	1599
248	1580	1592
249	1586	1586
250	1591	1578
251	1597	1572
252	1603	1565
253	1608	1558
254	1615	1552
255	1621	1545
256	1627	1538
257	1632	1531
258	1638	1524
259	1644	1517
260	1650	1511
261	1655	1504
262	1661	1497
263	1667	1490
264	1673	1483
265	1679	1477
266	1684	1470
267	1690	1463
268	1696	1457
269	1702	1450
270	1707	1443
271	1713	1436
272	1719	1429
273	1725	1422
274	1730	1416
275	1736	1409
276	1742	1403
277	1748	1396
278	1753	1389
279	1761	1383
280	1766	1376
281	1772	1370
282	1778	1363
283	1783	1356
284	1790	1350
285	1795	1343
286	1801	1337
287	1808	1330
288	1813	1324
289	1819	1317
290	1825	1310
291	1830	1304
292	1836	1297
293	1842	1291
294	1848	1284
295	1854	1277
296	1859	1271
297	1865	1264
298	1871	1258
299	1877	1251
300	1882	1244
301	1888	1238
302	1894	1231
303	1900	1225
304	1906	1218
305	1912	1212
306	1918	1205
307	1923	1199
308	1929	1192
309	1935	1186
310	1941	1179
311	1947	1173
312	1953	1167
313	1959	1160
314	1965	1154
315	1970	1147
316	1976	1140
317	1983	1135
318	1988	1128
319	1994	1122
320	2001	1115
321	2006	1109
322	2012	1102
323	2018	1096
324	2024	1089
325	2030	1083
326	2036	1077
327	2042	1070
328	2049	1065
329	2054	1058
330	2060	1052
331	2066	1045
332	2072	1039
333	2078	1032
334	2084	1026
335	2089	1020
336	2095	1013
337	2101	1007
338	2107	1000
339	2112	994
340	2118	987
341	2124	981
342	2130	975
343	2136	968
344	2142	962
345	2148	956
346	2153	949
347	2159	943
348	2165	936
349	2170	930
350	2177	924
351	2183	917
352	2188	911
353	2194	905
354	2200	898
355	2206	892
356	2211	886
357	2217	879
358	2223	873
359	2228	866
360	2234	860
361	2240	854
362	2246	847
363	2252	841
364	2258	835
365	2264	828
366	2269	822
367	2275	816
368	2281	809
369	2287	803
370	2292	797
371	2298	790
372	2304	784
373	2310	778
374	2316	772
375	2323	766
376	2328	759
377	2335	753
378	2341	747
379	2347	741
380	2353	734
381	2358	728
382	2364	722
383	2370	716
384	2376	709
385	2381	703
386	2388	697
387	2393	691
388	2400	684
389	2406	678
390	2411	672
391	2417	666
392	2423	659
393	2429	653
394	2435	647
395	2441	641
396	2446	634
397	2453	628
398	2458	622
399	2464	616
400	2470	609
401	2476	603
402	2482	597
403	2488	591
404	2494	585
405	2500	578
406	2506	572
407	2511	566
408	2517	560
409	2522	553
410	2528	547
411	2534	541
412	2540	535
413	2546	528
414	2552	522
415	2557	516
416	2563	510
417	2569	503
418	2574	497
419	2580	491
420	2586	485
421	2592	479
422	2599	473
423	2605	467
424	2611	460
425	2616	454
426	2622	448
427	2628	442
428	2633	435
429	2639	429
430	2646	423
431	2651	417
432	2657	411
433	2663	405
434	2669	398
435	2675	392
436	2680	386
437	2686	380
438	2692	374
439	2697	367
440	2703	361
441	2710	355
442	2716	349
443	2721	343
444	2727	337
445	2733	330
446	2738	324
447	2744	318
448	2750	312
449	2756	306
450	2761	300
451	2767	293
452	2773	287
453	2779	281
454	2785	275
455	2791	269
456	2797	263
457	2802	257
458	2808	250
459	2814	244
460	2820	238
461	2826	232
462	2831	226
463	2838	220
464	2844	214
465	2850	207
466	2857	201
467	2863	195
468	2868	189
469	2874	183
470	2879	177
471	2885	171
472	2891	165
473	2897	158
474	2903	152
475	2909	146
476	2915	140
477	2921	134
478	2927	128
479	2933	122
480	2938	116
481	2944	109
482	2950	103
483	2955	97
484	2961	91
485	2967	85
486	2972	79
487	2978	73
488	2984	67
489	2990	61
490	2995	54
491	3002	48
492	3008	42
493	3014	36
494	3020	30
495	3026	24
496	3032	18
497	3038	12
498	3043	6
499	3049	0
